Date,Day,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),Overnight,Intraday,Previous day,,No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x)
25-Sep-2025,Thursday,1381.00,1384.85,1369.00,1372.45,997.95,,,,,36532.00,137.24,1857264.21,40.77,22.79,81159.68,3.31,2.13,23.79,10.56,3.57,1.87
24-Sep-2025,Wednesday,1389.00,1396.00,1380.20,1383.75,604.73,,,,,28198.00,84.01,1872555.90,41.11,22.98,81715.63,3.34,2.14,23.97,10.64,3.60,1.89
23-Sep-2025,Tuesday,1390.00,1394.90,1377.00,1390.35,494.34,,,,,40138.00,68.51,1881487.33,41.30,23.08,82102.10,3.35,2.15,24.08,10.68,3.62,1.90
22-Sep-2025,Monday,1402.70,1410.45,1388.00,1390.40,705.99,,,,,19713.00,99.01,1881555.00,41.30,23.09,82159.97,3.35,2.16,24.08,10.68,3.62,1.90
19-Sep-2025,Friday,1415.00,1416.00,1403.55,1407.65,299.54,,,,,10659.00,42.22,1904898.51,41.82,23.37,82626.23,3.40,2.18,24.36,10.80,3.66,1.92
18-Sep-2025,Thursday,1420.00,1421.80,1410.70,1414.55,697.23,,,,,21324.00,98.64,1914235.92,42.02,23.49,83013.96,3.41,2.19,24.47,10.85,3.68,1.93
17-Sep-2025,Wednesday,1409.95,1415.90,1407.00,1413.65,602.24,,,,,13544.00,85.05,1913017.99,41.99,23.47,82693.71,3.41,2.19,24.46,10.84,3.68,1.93
16-Sep-2025,Tuesday,1402.05,1407.70,1398.00,1405.15,845.96,,,,,126958.00,118.70,1901515.39,41.74,23.33,82380.69,3.39,2.18,24.32,10.78,3.66,1.92
15-Sep-2025,Monday,1395.00,1400.95,1388.35,1399.30,304.02,,,,,8339.00,42.41,1893598.90,41.57,23.23,81785.74,3.38,2.17,24.22,10.74,3.64,1.91
12-Sep-2025,Friday,1383.50,1396.10,1380.80,1394.80,505.34,,,,,52331.00,70.36,1887509.28,41.43,23.16,81904.70,3.36,2.16,24.15,10.71,3.63,1.90
11-Sep-2025,Thursday,1376.65,1385.45,1374.60,1383.50,897.55,,,,,29923.00,124.12,1872217.59,41.10,22.97,81548.73,3.34,2.14,23.97,10.64,3.60,1.89
10-Sep-2025,Wednesday,1382.20,1388.65,1373.70,1376.80,429.95,,,,,20905.00,59.36,1863150.83,40.90,22.86,81425.15,3.32,2.13,23.86,10.59,3.58,1.88
09-Sep-2025,Tuesday,1378.85,1381.30,1369.00,1376.35,271.85,,,,,10471.00,37.39,1862541.87,40.89,22.85,81101.32,3.32,2.13,23.85,10.59,3.58,1.88
08-Sep-2025,Monday,1384.00,1385.90,1372.45,1378.85,249.87,,,,,7071.00,34.46,1865924.99,40.96,22.89,80787.30,3.33,2.14,23.89,10.60,3.59,1.88
05-Sep-2025,Friday,1365.90,1380.80,1359.35,1374.30,371.45,,,,,7180.00,50.93,1859767.71,40.82,22.82,80710.76,3.32,2.13,23.82,10.57,3.58,1.87
04-Sep-2025,Thursday,1370.00,1374.45,1356.60,1359.20,838.45,,,,,28070.00,114.20,1839333.68,40.38,22.57,80718.01,3.28,2.11,23.57,10.47,3.54,1.85
03-Sep-2025,Wednesday,1369.90,1376.45,1361.15,1371.55,308.66,,,,,18347.00,42.25,1856046.28,40.74,22.77,80567.71,3.31,2.13,23.77,10.55,3.57,1.87
02-Sep-2025,Tuesday,1357.75,1384.65,1355.00,1366.30,466.42,,,,,13420.00,64.17,1848941.74,40.59,22.69,80157.88,3.30,2.12,23.68,10.52,3.56,1.86
01-Sep-2025,Monday,1357.85,1363.20,1341.70,1353.85,314.14,,,,,14680.00,42.53,1832093.81,40.22,22.48,80364.49,3.27,2.10,23.48,10.43,3.52,1.85
29-Aug-2025,Friday,1384.20,1403.00,1350.30,1357.05,870.45,,,,,31867.00,119.57,1836424.20,40.31,22.53,79809.65,3.27,2.10,23.53,10.46,3.53,1.85
28-Aug-2025,Thursday,1387.05,1392.80,1367.00,1387.65,422.52,,,,,17734.00,58.29,1877833.57,41.22,23.04,80080.57,3.35,2.15,24.03,10.66,3.61,1.89
26-Aug-2025,Tuesday,1409.95,1409.95,1381.40,1385.30,1696.76,,,,,42701.00,236.18,1874653.43,41.15,23.00,80786.54,3.34,2.15,23.99,10.65,3.61,1.89
25-Aug-2025,Monday,1413.05,1419.00,1405.55,1412.90,767.07,,,,,82816.00,108.32,1912003.06,41.97,23.46,81635.91,3.41,2.19,24.44,10.84,3.68,1.93
22-Aug-2025,Friday,1423.60,1423.60,1408.00,1409.30,334.23,,,,,8855.00,47.26,1907131.37,41.86,23.40,81306.85,3.40,2.18,24.39,10.81,3.67,1.92
21-Aug-2025,Thursday,1424.00,1431.80,1421.00,1424.65,1253.96,,,,,33914.00,178.96,1927903.71,42.32,23.65,82000.71,3.44,2.21,24.64,10.92,3.71,1.94
20-Aug-2025,Wednesday,1414.95,1424.60,1410.20,1412.45,429.89,,,,,12064.00,61.02,1911394.10,41.96,23.45,81857.84,3.41,2.19,24.44,10.83,3.68,1.93
19-Aug-2025,Tuesday,1389.70,1421.80,1389.70,1419.95,1318.45,,,,,31527.00,186.62,1921543.45,42.18,23.58,81644.39,3.43,2.20,24.56,10.88,3.70,1.94
18-Aug-2025,Monday,1388.30,1395.00,1377.15,1380.95,422.42,,,,,12712.00,58.40,1868766.81,41.02,22.93,81273.75,3.33,2.14,23.92,10.62,3.59,1.88
14-Aug-2025,Thursday,1379.80,1380.75,1369.95,1373.75,447.77,,,,,15360.00,61.58,1859023.43,40.81,22.81,80597.66,3.31,2.13,23.81,10.57,3.58,1.87
13-Aug-2025,Wednesday,1389.80,1391.70,1377.70,1382.65,369.17,,,,,11339.00,51.09,1871067.33,41.07,22.96,80539.91,3.34,2.14,23.95,10.63,3.60,1.89
12-Aug-2025,Tuesday,1384.65,1401.25,1375.10,1380.40,635.91,,,,,19225.00,88.13,1868022.52,41.01,22.92,80235.59,3.33,2.14,23.91,10.61,3.59,1.88
11-Aug-2025,Monday,1370.00,1388.20,1361.20,1386.80,901.13,,,,,17330.00,123.86,1876683.30,41.20,23.03,80604.08,3.35,2.15,24.02,10.66,3.61,1.89
08-Aug-2025,Friday,1387.95,1396.75,1365.50,1367.95,938.69,,,,,18124.00,129.69,1851174.59,40.64,22.71,79857.79,3.30,2.12,23.71,10.53,3.56,1.87
07-Aug-2025,Thursday,1385.10,1393.90,1366.25,1390.85,642.90,,,,,20003.00,88.74,1882163.96,41.32,23.09,80623.26,3.36,2.16,24.09,10.69,3.62,1.90
06-Aug-2025,Wednesday,1391.90,1395.95,1383.35,1392.95,134.52,,,,,7591.00,18.70,1885005.78,41.38,23.13,80543.99,3.36,2.16,24.12,10.70,3.63,1.90
05-Aug-2025,Tuesday,1411.00,1411.00,1388.10,1391.60,854.49,,,,,17703.00,118.97,1883178.89,41.34,23.11,80710.25,3.36,2.16,24.10,10.69,3.62,1.90
04-Aug-2025,Monday,1406.85,1416.00,1391.55,1411.30,275.04,,,,,21829.00,38.81,1909837.86,41.92,23.43,81018.72,3.40,2.19,24.42,10.82,3.67,1.92
01-Aug-2025,Friday,1387.95,1405.25,1384.30,1393.60,421.54,,,,,21680.00,58.93,1885885.39,41.40,23.14,80599.91,3.36,2.16,24.13,10.70,3.63,1.90
31-Jul-2025,Thursday,1389.65,1402.40,1384.05,1390.30,527.88,,,,,31437.00,73.46,1881419.67,41.30,23.08,81185.58,3.35,2.15,24.08,10.68,3.62,1.90
30-Jul-2025,Wednesday,1417.95,1423.25,1401.35,1409.90,317.69,,,,,16805.00,44.86,1907943.32,41.88,23.41,81481.86,3.40,2.19,24.40,10.82,3.67,1.92
29-Jul-2025,Tuesday,1383.50,1420.95,1383.50,1417.95,1026.14,,,,,25630.00,144.39,1918836.96,42.12,23.54,81337.95,3.42,2.20,24.53,10.87,3.69,1.93
28-Jul-2025,Monday,1392.10,1407.10,1385.00,1387.30,534.88,,,,,29286.00,74.58,1877359.93,41.21,23.03,80891.02,3.35,2.15,24.03,10.66,3.61,1.89
25-Jul-2025,Friday,1401.95,1401.95,1384.50,1392.10,385.43,,,,,20076.00,53.77,1883855.52,41.35,23.11,81463.09,3.36,2.16,24.11,10.69,3.62,1.90
24-Jul-2025,Thursday,1420.00,1422.05,1396.45,1402.65,332.78,,,,,14129.00,46.81,1898132.27,41.67,23.29,82184.17,3.38,2.17,24.28,10.77,3.65,1.91
23-Jul-2025,Wednesday,1426.90,1426.90,1414.85,1424.50,462.90,,,,,18751.00,65.73,1927700.73,42.32,23.65,82726.64,3.44,2.21,24.63,10.91,3.71,1.94
22-Jul-2025,Tuesday,1433.20,1433.20,1410.45,1412.80,1522.40,,,,,36400.00,215.36,1911867.73,41.97,23.46,82186.81,3.41,2.19,24.44,10.84,3.68,1.93
21-Jul-2025,Monday,1474.95,1474.95,1423.05,1428.20,1557.15,,,,,61048.00,223.04,1932707.74,42.43,23.71,82200.34,3.45,2.21,24.69,10.94,3.72,1.95
18-Jul-2025,Friday,1482.10,1485.05,1469.00,1476.85,357.14,,,,,14755.00,52.67,1998543.22,43.87,24.52,81757.73,3.56,2.29,25.49,11.27,3.84,2.01
17-Jul-2025,Thursday,1490.25,1490.35,1474.00,1477.10,186.83,,,,,8830.00,27.67,1998881.53,43.88,24.52,82259.24,3.56,2.29,25.49,11.27,3.85,2.01
16-Jul-2025,Wednesday,1472.00,1490.90,1472.00,1485.75,130.75,,,,,6481.00,19.37,2010587.12,44.14,24.67,82634.48,3.58,2.30,25.63,11.33,3.87,2.03
15-Jul-2025,Tuesday,1485.10,1496.05,1482.20,1484.90,892.77,,,,,15808.00,132.70,2009436.86,44.11,24.65,82570.91,3.58,2.30,25.62,11.33,3.87,2.02
14-Jul-2025,Monday,1494.45,1499.95,1479.35,1484.60,2020.84,,,,,8863.00,301.85,2009030.89,44.10,24.65,82253.46,3.58,2.30,25.61,11.32,3.86,2.02
11-Jul-2025,Friday,1512.20,1513.95,1490.10,1494.85,344.60,,,,,14553.00,51.56,2022901.67,44.41,24.82,82500.47,3.61,2.32,25.78,11.39,3.89,2.04
10-Jul-2025,Thursday,1519.05,1524.85,1507.40,1517.20,458.96,,,,,15436.00,69.52,2053146.75,45.07,25.19,83190.28,3.66,2.35,26.15,11.55,3.95,2.07
09-Jul-2025,Wednesday,1531.05,1551.00,1510.00,1519.05,548.14,,,,,16128.00,83.91,2055650.26,45.12,25.22,83536.08,3.66,2.35,26.18,11.56,3.95,2.07
08-Jul-2025,Tuesday,1535.00,1545.60,1530.25,1538.80,1461.34,,,,,14287.00,224.78,2082376.89,45.71,25.55,83712.51,3.71,2.39,26.50,11.69,4.01,2.10
07-Jul-2025,Monday,1525.25,1544.50,1525.25,1541.20,392.10,,,,,15061.00,60.29,2085624.68,45.78,25.59,83442.50,3.72,2.39,26.54,11.71,4.01,2.10
04-Jul-2025,Friday,1521.00,1529.50,1517.25,1527.40,487.88,,,,,14945.00,74.30,2066949.87,45.37,25.36,83432.89,3.68,2.37,26.31,11.62,3.98,2.08
03-Jul-2025,Thursday,1518.75,1531.70,1512.70,1518.95,168.58,,,,,5842.00,25.66,2055514.93,45.12,25.22,83239.47,3.66,2.35,26.17,11.56,3.95,2.07
02-Jul-2025,Wednesday,1529.90,1530.00,1508.95,1518.25,284.42,,,,,7315.00,43.16,2054567.66,45.10,25.21,83409.69,3.66,2.35,26.16,11.55,3.95,2.07
01-Jul-2025,Tuesday,1500.65,1531.20,1500.65,1528.30,2842.86,,,,,37925.00,431.74,2068167.79,45.40,25.38,83697.29,3.69,2.37,26.33,11.62,3.98,2.08
30-Jun-2025,Monday,1516.05,1524.95,1496.40,1500.65,439.73,,,,,15179.00,66.48,2030750.51,44.58,24.92,83606.46,3.62,2.33,25.88,11.43,3.91,2.05
27-Jun-2025,Friday,1498.05,1521.70,1497.10,1516.05,340.71,,,,,8644.00,51.47,2051590.51,58.18,29.46,84058.90,3.78,2.44,29.23,12.50,3.97,2.13
26-Jun-2025,Thursday,1469.95,1498.70,1465.10,1495.20,366.25,,,,,8461.00,54.48,2023375.31,57.38,29.05,83755.87,3.73,2.40,28.85,12.35,3.91,2.10
25-Jun-2025,Wednesday,1462.05,1472.00,1460.15,1467.25,143.27,,,,,4881.00,21.02,1985552.05,56.31,28.51,82755.51,3.66,2.36,28.34,12.14,3.84,2.06
24-Jun-2025,Tuesday,1466.75,1475.00,1443.30,1450.05,3665.22,,,,,36308.00,532.26,1962276.19,55.65,28.17,82055.11,3.61,2.33,28.03,12.01,3.79,2.03
23-Jun-2025,Monday,1442.70,1463.00,1442.00,1456.35,289.43,,,,,9132.00,42.04,1970801.65,55.89,28.30,81896.79,3.63,2.34,28.14,12.06,3.81,2.04
20-Jun-2025,Friday,1430.00,1470.00,1428.10,1464.65,690.29,,,,,22662.00,100.55,1982033.60,56.21,28.46,82408.17,3.65,2.35,28.29,12.12,3.83,2.05
19-Jun-2025,Thursday,1430.00,1439.85,1426.00,1433.65,702.53,,,,,7235.00,100.67,1940082.94,55.02,27.86,81361.87,3.57,2.30,27.73,11.89,3.75,2.01
18-Jun-2025,Wednesday,1430.00,1443.00,1425.55,1429.85,277.71,,,,,9130.00,39.78,1934940.60,54.87,27.78,81444.66,3.56,2.30,27.66,11.86,3.74,2.01
17-Jun-2025,Tuesday,1438.00,1446.00,1425.80,1431.30,2874.90,,,,,32533.00,411.55,1936902.81,54.93,27.81,81583.30,3.57,2.30,27.69,11.87,3.74,2.01
16-Jun-2025,Monday,1425.05,1441.90,1425.00,1438.55,350.58,,,,,11442.00,50.36,1946713.85,55.21,27.95,81796.15,3.58,2.31,27.82,11.93,3.76,2.02
13-Jun-2025,Friday,1420.00,1435.35,1414.00,1427.65,313.64,,,,,7626.00,44.65,1931963.46,54.79,27.74,81118.60,3.56,2.29,27.62,11.85,3.73,2.00
12-Jun-2025,Thursday,1452.20,1456.85,1434.05,1439.60,284.78,,,,,7208.00,41.21,1948134.76,55.25,27.97,81691.98,3.59,2.31,27.84,11.94,3.77,2.02
11-Jun-2025,Wednesday,1444.90,1468.00,1442.80,1448.75,654.10,,,,,18670.00,95.28,1960516.97,55.60,28.15,82515.14,3.61,2.33,28.00,12.00,3.79,2.03
10-Jun-2025,Tuesday,1448.60,1453.40,1436.50,1438.60,481.51,,,,,14812.00,69.45,1946781.51,55.21,27.95,82391.72,3.58,2.31,27.82,11.93,3.76,2.02
09-Jun-2025,Monday,1454.55,1456.90,1445.10,1448.60,452.34,,,,,14227.00,65.58,1960313.99,55.59,28.15,82445.21,3.61,2.33,28.00,12.00,3.79,2.03
06-Jun-2025,Friday,1443.65,1451.35,1436.75,1443.55,1284.70,,,,,21111.00,185.70,1953480.09,55.40,28.05,82188.99,3.60,2.32,27.91,11.96,3.78,2.02
05-Jun-2025,Thursday,1426.95,1454.50,1423.40,1442.65,427.03,,,,,9261.00,61.68,1952262.16,55.36,28.03,81442.04,3.59,2.32,27.89,11.96,3.77,2.02
04-Jun-2025,Wednesday,1410.40,1425.00,1406.15,1423.20,312.94,,,,,9765.00,44.25,1925941.51,54.62,27.65,80998.25,3.55,2.29,27.54,11.81,3.72,2.00
03-Jun-2025,Tuesday,1419.80,1427.05,1403.00,1405.95,1503.68,,,,,35516.00,212.15,1902597.99,53.96,27.32,80737.51,3.50,2.26,27.22,11.69,3.68,1.97
02-Jun-2025,Monday,1415.95,1417.65,1395.90,1414.45,469.57,,,,,15705.00,66.16,1914100.59,54.28,27.48,81373.75,3.52,2.27,27.38,11.75,3.70,1.98
30-May-2025,Friday,1417.80,1430.75,1410.00,1420.80,228.18,,,,,7389.00,32.34,1922693.71,54.53,27.61,81451.01,3.54,2.28,27.49,11.80,3.72,1.99
29-May-2025,Thursday,1413.35,1420.15,1408.95,1417.40,309.42,,,,,9456.00,43.76,1918092.67,54.40,27.54,81633.02,3.53,2.28,27.43,11.77,3.71,1.99
28-May-2025,Wednesday,1421.70,1422.20,1410.20,1411.15,260.94,,,,,8401.00,36.93,1909634.88,54.16,27.42,81312.32,3.52,2.27,27.32,11.73,3.69,1.98
27-May-2025,Tuesday,1429.15,1437.30,1414.00,1421.75,1302.99,,,,,25513.00,185.25,1923979.30,54.56,27.62,81551.63,3.54,2.28,27.51,11.80,3.72,1.99
26-May-2025,Monday,1430.40,1441.20,1426.05,1434.15,330.12,,,,,10974.00,47.45,1940759.56,55.04,27.87,82176.45,3.57,2.30,27.74,11.89,3.75,2.01
23-May-2025,Friday,1406.00,1433.70,1406.00,1426.45,386.76,,,,,11983.00,55.12,1930339.56,54.74,27.72,81721.08,3.55,2.29,27.60,11.84,3.73,2.00
22-May-2025,Thursday,1420.00,1422.50,1397.40,1409.40,388.19,,,,,11184.00,54.64,1907266.69,54.09,27.38,80951.99,3.51,2.26,27.29,11.71,3.69,1.98
21-May-2025,Wednesday,1424.95,1436.10,1418.35,1428.90,507.42,,,,,13520.00,72.43,1933655.01,54.84,27.76,81596.63,3.56,2.30,27.64,11.86,3.74,2.00
20-May-2025,Tuesday,1435.65,1444.55,1421.20,1425.30,670.53,,,,,19523.00,96.07,1928783.32,54.70,27.69,81186.44,3.55,2.29,27.58,11.83,3.73,2.00
19-May-2025,Monday,1454.30,1454.30,1438.05,1441.65,550.73,,,,,16894.00,79.68,1950908.92,55.33,28.01,82059.42,3.59,2.32,27.87,11.95,3.77,2.02
16-May-2025,Friday,1453.75,1460.20,1447.60,1456.60,338.75,,,,,8038.00,49.28,1971139.96,55.90,28.30,82330.59,3.63,2.34,28.15,12.06,3.81,2.04
15-May-2025,Thursday,1424.25,1461.00,1413.00,1453.80,479.37,,,,,11897.00,69.04,1967350.87,55.79,28.25,82530.74,3.62,2.34,28.10,12.04,3.80,2.04
14-May-2025,Wednesday,1418.10,1429.80,1415.50,1424.25,320.53,,,,,11597.00,45.64,1927362.41,54.66,27.67,81330.56,3.55,2.29,27.56,11.82,3.73,2.00
13-May-2025,Tuesday,1433.20,1447.35,1413.00,1416.20,992.15,,,,,28957.00,141.37,1916468.77,54.35,27.52,81148.22,3.53,2.27,27.41,11.76,3.70,1.99
12-May-2025,Monday,1400.00,1438.90,1400.00,1436.55,792.77,,,,,29203.00,113.07,1944007.36,55.13,27.91,82429.90,3.58,2.31,27.78,11.91,3.76,2.02
09-May-2025,Friday,1372.05,1395.00,1372.05,1377.75,388.44,,,,,11567.00,53.72,1864436.42,52.87,26.77,79454.47,3.43,2.21,26.71,11.48,3.60,1.93
08-May-2025,Thursday,1404.95,1420.50,1397.05,1404.85,573.81,,,,,17801.00,80.89,1901109.42,53.91,27.30,80334.81,3.50,2.26,27.20,11.68,3.67,1.97
07-May-2025,Wednesday,1412.05,1424.90,1402.15,1406.00,262.09,,,,,7732.00,37.08,1902665.65,53.96,27.32,80746.78,3.50,2.26,27.22,11.69,3.68,1.97
06-May-2025,Tuesday,1432.00,1432.00,1410.35,1420.55,311.56,,,,,10101.00,44.22,1922355.40,54.52,27.60,80641.07,3.54,2.28,27.49,11.79,3.72,1.99
05-May-2025,Monday,1427.00,1439.75,1427.00,1431.10,428.79,,,,,10365.00,61.39,1936632.16,54.92,27.81,80796.84,3.57,2.30,27.68,11.87,3.74,2.01
02-May-2025,Friday,1408.40,1426.00,1408.40,1421.95,3746.66,,,,,44290.00,531.42,1924249.95,54.57,27.63,80501.99,3.54,2.28,27.51,11.80,3.72,1.99
30-Apr-2025,Wednesday,1404.90,1411.85,1373.50,1408.35,3375.63,,,,,47703.00,475.01,1905845.78,54.05,27.36,80242.24,3.51,2.26,27.27,11.70,3.68,1.98
29-Apr-2025,Tuesday,1370.35,1410.90,1370.20,1400.30,6415.19,,,,,28944.00,900.85,1894938.18,53.74,27.21,80288.38,3.49,2.25,27.12,11.65,3.66,1.96
28-Apr-2025,Monday,1332.35,1374.90,1320.15,1368.50,1269.30,,,,,37507.00,171.74,1851905.23,52.52,26.59,80218.37,3.41,2.20,26.54,11.41,3.58,1.92
25-Apr-2025,Friday,1301.00,1325.25,1288.00,1300.05,1543.90,,,,,37447.00,201.26,1759276.14,49.89,25.26,79212.53,3.24,2.09,25.29,10.91,3.40,1.82
24-Apr-2025,Thursday,1298.65,1304.45,1290.50,1301.65,281.54,,,,,7983.00,36.54,1761441.32,49.95,25.29,79801.43,3.24,2.09,25.32,10.92,3.40,1.83
23-Apr-2025,Wednesday,1295.85,1305.75,1285.30,1299.90,420.70,,,,,10067.00,54.56,1759073.15,49.89,25.26,80116.49,3.24,2.09,25.29,10.90,3.40,1.82
22-Apr-2025,Tuesday,1300.00,1303.00,1286.50,1290.95,759.46,,,,,28906.00,98.40,1746961.68,49.54,25.08,79595.59,3.22,2.07,25.12,10.84,3.38,1.81
21-Apr-2025,Monday,1271.55,1300.00,1266.75,1295.85,729.26,,,,,27529.00,94.11,1753592.54,49.73,25.18,79408.50,3.23,2.08,25.21,10.87,3.39,1.82
17-Apr-2025,Thursday,1238.65,1279.45,1227.40,1274.55,392.50,,,,,14455.00,49.28,1724768.59,48.91,24.76,78553.20,3.18,2.05,24.83,10.72,3.33,1.79
16-Apr-2025,Wednesday,1239.85,1240.90,1229.05,1238.65,361.52,,,,,9848.00,44.64,1676187.37,47.54,24.07,77044.29,3.09,1.99,24.17,10.45,3.24,1.74
