Date,Open (Unit Curr),High (Unit Curr),Low (Unit Curr),Close (Unit Curr),Volume (000's),No of Trades,Value,Market Cap,TTM PE(x),Cons TTM PE(x),SENSEX,P/BV(x),Cons P/BV(x),EV/EBIDTA(x),Cons EV/EBIDTA(x),MCAP/Sales(x),Cons MCAP/Sales(x)
27-Feb-19,745,746.6,733,734.7,447.43,5551,33.0778387,320964.8861,22.86074687,21.36774423,35905.43,4.831020055,4.66747177,14.55617217,13.26579825,4.575016907,4.051563823
26-Feb-19,748.15,752.05,740,741.7,394.085,9495,29.3838511,324022.9427,23.07855717,21.57132965,35973.71,4.877048557,4.711942033,14.70250468,13.40050847,4.618606288,4.090165902
25-Feb-19,735,757.8,735,754.9,297.704,5898,22.3440703,329789.5638,23.48928517,21.95523359,36213.38,4.963845161,4.795800244,14.97844597,13.65453345,4.700803407,4.162958392
22-Feb-19,733.9,736.65,728,733.35,191.573,2919,14.0618998,320375.118,22.8187406,21.32848133,35871.48,4.82214313,4.658895362,14.52795091,13.23981842,4.566610383,4.044119137
21-Feb-19,739,739.15,727.95,733.35,200.596,3567,14.694472,320375.118,22.8187406,21.32848133,35898.35,4.82214313,4.658895362,14.52795091,13.23981842,4.566610383,4.044119137
20-Feb-19,730,743.45,727,740.05,288.411,4084,21.2129697,323302.1151,23.02721617,21.52334166,35756.26,4.866198981,4.701459757,14.66801202,13.36875535,4.608331648,4.08106684
19-Feb-19,738.9,739.3,723,725.15,228.364,5285,16.6031812,316792.8231,22.56359139,21.08999555,35352.61,4.768224027,4.606801625,14.35653283,13.08201503,4.515548537,3.99889956
18-Feb-19,741,747.5,736.2,740.1,168.645,4165,12.4715494,323323.9584,23.02877196,21.52479584,35498.44,4.866527756,4.701777402,14.66905725,13.36971756,4.608643001,4.081342569
15-Feb-19,741.25,746.55,733,741.75,331.471,4212,24.5326278,324044.786,23.08011296,21.57278383,35808.95,4.877377332,4.712259678,14.70354991,13.40147068,4.61891764,4.090441631
14-Feb-19,753,753,738,739.8,171.101,3443,12.7592534,323192.8988,23.01943724,21.51607075,35876.22,4.864555106,4.699871533,14.66278585,13.36394427,4.606774884,4.079688195
13-Feb-19,750.4,759.65,743.55,754.95,201.502,6004,15.1885235,329811.407,23.49084096,21.95668777,36034.11,4.964173936,4.796117889,14.9794912,13.65549566,4.701114759,4.163234121
12-Feb-19,763,763,741,750.4,292.287,5098,21.8754268,327823.6702,23.34926426,21.82435725,36153.62,4.934255409,4.767212218,14.88437507,13.56793402,4.672781661,4.13814277
11-Feb-19,760,768.65,757.55,761.6,275.729,4996,21.040375,332716.5608,23.69776074,22.15009392,36395.03,5.007901012,4.838364639,15.11850707,13.78347037,4.742524671,4.199906095
08-Feb-19,764,771.15,755.1,759.85,312.65,5263,23.8846865,331952.0467,23.64330817,22.09919757,36546.48,4.996393887,4.827247073,15.08192395,13.74979281,4.731627326,4.190255575
07-Feb-19,761.1,769.5,760.65,763.35,241.922,5082,18.5365242,333481.075,23.75221332,22.20099028,36971.09,5.019408138,4.849482205,15.1550902,13.81714792,4.753422017,4.209556614
06-Feb-19,754.25,766.15,753.8,762.65,345.88,5396,26.3831395,333175.2693,23.73043229,22.18063174,36975.23,5.014805288,4.845035178,15.14045695,13.8036769,4.749063079,4.205696407
05-Feb-19,751,760,748.55,754.25,272.873,4521,20.5825092,329505.6014,23.46905993,21.93632923,36616.81,4.959571085,4.791670863,14.96485795,13.64202464,4.696755821,4.159373913
